Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP1000,Male,No,0,Graduate,No,11298,0,273.0,360.0,0.0,Semiurban,N
LP1001,Female,Yes,0,Graduate,No,7951,1980,259.0,360.0,1.0,Urban,Y
LP1002,Female,Yes,0,Graduate,No,5992,113,229.0,120.0,1.0,Semiurban,Y
LP1003,Male,Yes,0,Graduate,No,5485,1066,180.0,360.0,1.0,Rural,N
LP1004,Male,Yes,0,Graduate,No,6148,3161,270.0,360.0,0.0,Rural,N
LP1005,Male,No,0,Graduate,No,7519,0,392.0,360.0,1.0,Semiurban,Y
LP1006,Male,No,0,Graduate,No,4988,0,198.0,360.0,1.0,Semiurban,Y
LP1007,Female,No,2,Graduate,No,8829,0,162.0,120.0,0.0,Rural,N
LP1008,,,,Not Graduate,,4883,1088,,,,Urban,Y
LP1009,Female,Yes,0,Graduate,No,5367,1007,170.0,360.0,1.0,Rural,Y
LP1010,Male,No,2,Graduate,No,10027,0,145.0,360.0,0.0,Semiurban,Y
LP1011,Female,No,1,Graduate,No,8545,0,217.0,360.0,1.0,Rural,Y
LP1012,Female,Yes,0,Graduate,No,4698,3445,133.0,360.0,0.0,Rural,N
LP1013,Male,No,0,Graduate,No,6285,0,196.0,360.0,1.0,Urban,Y
LP1014,Male,No,0,Graduate,No,4535,0,94.0,360.0,0.0,Rural,N
LP1015,Male,Yes,1,Not Graduate,Yes,9750,1038,290.0,360.0,1.0,Rural,Y
LP1016,Male,Yes,3+,Graduate,No,9748,1316,121.0,360.0,0.0,Rural,N
LP1017,Male,Yes,1,Graduate,Yes,13307,1227,99.0,360.0,1.0,Semiurban,Y
LP1018,Male,Yes,1,Graduate,No,15341,610,256.0,360.0,1.0,Semiurban,Y
LP1019,Male,Yes,1,Graduate,No,5646,2299,275.0,360.0,1.0,Urban,N
LP1020,Male,No,0,Graduate,No,9158,0,179.0,360.0,1.0,Rural,Y
LP1021,Male,Yes,0,Graduate,No,3499,710,154.0,360.0,1.0,Semiurban,Y
LP1022,Male,Yes,1,Graduate,Yes,7593,289,141.0,360.0,1.0,Urban,Y
LP1023,Male,Yes,3+,Graduate,Yes,8276,850,175.0,360.0,1.0,Rural,Y
LP1024,Male,Yes,0,Graduate,No,4976,747,157.0,360.0,1.0,Urban,Y
LP1025,Female,No,1,Not Graduate,No,5521,0,150.0,360.0,1.0,Urban,Y
LP1026,Male,Yes,0,Graduate,No,9773,1113,117.0,120.0,0.0,Urban,Y
LP1027,Male,Yes,0,Not Graduate,No,8353,3343,106.0,360.0,1.0,Urban,Y
LP1028,Male,No,0,Graduate,Yes,12629,0,165.0,360.0,1.0,Urban,Y
LP1029,Male,Yes,0,Not Graduate,No,12049,1297,173.0,360.0,1.0,Urban,Y
LP1030,Male,Yes,2,Graduate,No,3809,1092,123.0,180.0,1.0,Urban,Y
LP1031,Male,Yes,0,Not Graduate,No,5847,2090,129.0,360.0,1.0,Rural,Y
LP1032,Male,Yes,1,Not Graduate,No,4795,2199,173.0,60.0,1.0,Rural,N
LP1033,Female,Yes,2,Graduate,Yes,9302,5026,116.0,120.0,0.0,Urban,Y
LP1034,Female,Yes,3+,Not Graduate,No,7868,1603,233.0,360.0,1.0,Rural,Y
LP1035,Female,Yes,0,Graduate,No,4909,664,193.0,120.0,1.0,Urban,Y
LP1036,Male,No,0,Graduate,No,5179,0,123.0,360.0,1.0,Rural,Y
LP1037,Male,Yes,0,Graduate,No,11004,903,189.0,180.0,1.0,Semiurban,Y
LP1038,Male,Yes,3+,Graduate,No,6085,774,117.0,360.0,1.0,Urban,Y
LP1039,Male,Yes,3+,Graduate,No,3319,3898,214.0,360.0,1.0,Semiurban,Y
LP1040,Male,Yes,0,Graduate,No,4757,2126,118.0,360.0,1.0,Urban,Y
LP1041,Male,No,2,Graduate,No,13660,0,153.0,180.0,1.0,Urban,Y
LP1042,Male,Yes,0,Graduate,No,10138,513,168.0,360.0,1.0,Semiurban,Y
LP1043,Female,No,1,Not Graduate,No,4436,0,273.0,360.0,0.0,Semiurban,N
LP1044,Male,Yes,0,Graduate,No,7592,2832,121.0,360.0,1.0,Semiurban,Y
LP1045,Male,Yes,2,Graduate,No,9900,1108,119.0,360.0,1.0,Urban,Y
LP1046,Male,Yes,0,Graduate,No,3792,822,95.0,360.0,1.0,Semiurban,Y
LP1047,Male,No,2,Graduate,No,10317,0,306.0,360.0,1.0,Semiurban,Y
LP1048,Male,Yes,2,Graduate,No,8323,733,162.0,360.0,0.0,Rural,N
LP1049,Male,Yes,1,Graduate,No,5406,668,235.0,360.0,1.0,Rural,Y
LP1050,Female,Yes,0,Graduate,No,8813,573,130.0,360.0,1.0,Semiurban,Y
LP1051,Female,No,0,Not Graduate,Yes,7909,0,134.0,360.0,0.0,Semiurban,N
LP1052,Female,Yes,0,Graduate,No,8108,1600,157.0,360.0,1.0,Semiurban,Y
LP1053,Female,No,0,Graduate,Yes,7492,0,159.0,120.0,1.0,Semiurban,Y
LP1054,Male,Yes,0,Graduate,No,5112,1954,204.0,360.0,1.0,Rural,Y
LP1055,Female,Yes,3+,Graduate,Yes,5449,1932,163.0,120.0,1.0,Urban,Y
LP1056,Male,Yes,1,Graduate,No,6505,3126,139.0,360.0,1.0,Semiurban,Y
LP1057,Male,Yes,0,Graduate,No,7220,548,308.0,360.0,1.0,Semiurban,Y
LP1058,Male,Yes,0,Graduate,No,9008,328,116.0,360.0,1.0,Rural,Y
LP1059,Male,Yes,0,Graduate,No,13790,2022,121.0,180.0,1.0,Semiurban,Y
LP1060,Male,No,1,Not Graduate,No,7721,0,117.0,360.0,1.0,Semiurban,Y
LP1061,Male,Yes,0,Not Graduate,No,8948,2583,207.0,360.0,1.0,Rural,Y
LP1062,Female,Yes,3+,Graduate,No,9709,1293,187.0,360.0,1.0,Semiurban,Y
LP1063,Male,Yes,0,Graduate,Yes,9185,798,151.0,360.0,1.0,Semiurban,Y
LP1064,Male,Yes,3+,Graduate,No,5044,2043,115.0,180.0,0.0,Rural,N
LP1065,Male,Yes,2,Graduate,Yes,11399,1419,168.0,360.0,0.0,Urban,N
LP1066,Male,Yes,0,Graduate,No,10714,1294,218.0,360.0,0.0,Semiurban,N
LP1067,Female,Yes,3+,Graduate,No,7455,5633,277.0,360.0,0.0,Semiurban,N
LP1068,Male,No,0,Graduate,No,5150,0,128.0,360.0,1.0,Urban,Y
